clock, 20
std_cell_utilization, 69.97%
total_violations, 0
slack, 15.59

clock, 10
std_cell_utilization, 69.97%
total_violations, 1
slack, 5.59

clock, 5
std_cell_utilization, 69.97%
total_violations, 1
slack, 0.63

clock, 4.5
std_cell_utilization, 70.16%
total_violations, 1
slack, 0.36

clock, 4
std_cell_utilization, 70.69%
total_violations, 1
slack, 0.32

clock, 3.8
std_cell_utilization, 71.11%
total_violations, 1
slack, 0.27

clock, 3.6
std_cell_utilization, 71.84%
total_violations, 3
slack, 0.16

clock, 3.4
std_cell_utilization, 74.05%
total_violations, 2
slack, 0.09

clock, 3.2
std_cell_utilization, 78.35%
total_violations, 3
slack, 0.05

clock, 3
std_cell_utilization, 84.96%
total_violations, 2
slack, -0.10

clock, 2.8
std_cell_utilization, 83.43%
total_violations, 4
slack, -0.32

clock, 2.6
std_cell_utilization, 82.31%
total_violations, 0
slack, -0.54

clock, 2.4
std_cell_utilization, 83.81%
total_violations, 4
slack, -0.73

clock, 2.2
std_cell_utilization, 80.84%
total_violations, 0
slack, -0.95

clock, 2
std_cell_utilization, 84.73%
total_violations, 5
slack, -1.11

clock, 1.8
std_cell_utilization, 83.98%
total_violations, 2
slack, -1.34

clock, 1.6
std_cell_utilization, 84.58%
total_violations, 2
slack, -1.51

clock, 1.4
std_cell_utilization, 83.72%
total_violations, 5
slack, -1.70

clock, 1.2
std_cell_utilization, 83.58%
total_violations, 3
slack, -1.92

clock, 1
std_cell_utilization, 83.24%
total_violations, 2
slack, -2.13
